order,brand,biller
196,蒸旺,"['蒸旺', '蒸旺包子店', '蒸旺手工包深圳兴东店', '蒸旺汤包', '朱记蒸旺汤包店', '蒸旺深圳阳光科创店', '蒸旺龙华店', '蒸旺（南联店）', '蒸旺深圳坂田北店', '蒸旺手工包点', '深圳市龙华区蒸旺汤包宝龙店', '蒸旺深圳甘坑店', '蒸旺竹子林店', '深圳市光明区蒸旺汤包店', '蒸旺手工包点深圳金田路店', '深圳市福田区蒸旺包子店', '蒸旺深圳福田新洲店', '蒸旺手工包点深圳科苑店', '蒸旺包点店', '深圳市光明区蒸旺汤包店1', '蒸旺龙华君子嘉园', '蒸旺深圳横岗店', '蒸旺包点', '蒸旺早餐竹子林店', '蒸旺手工包店固戍店', '蒸旺深圳沙井店', '蒸旺深圳松岗店', '蒸旺小菜', '蒸旺包子铺', '蒸旺君子嘉园', '蒸旺手工汤包店', '蒸旺包子', '蒸旺手工包', '东莞市塘厦蒸旺包点店', '蒸旺店', '蒸旺小吃店', '旺', '蒸旺汤包店']"
197,元祖食品,"['食品', '元']"
199,大渝火锅,"['大牛火锅', '蜀渝火锅']"
200,R&B巡茶,"['Toys""R""Us (HK) Ltd. HKG', '待Ella.R（8栋-1005...确认收款']"
201,蓉李记,"['李', '蓉李记餐饮', '蓉', '李记']"
202,韩宫宴炭火烤肉,"['炭火烤肉', '韩', '韩宫宴炭火烤肉（下沙Kkone店）', '韩牛匠炭火烤肉']"
204,700CC天然苏打水茶饮,"['Cc', '茶饮', 'CC', '茶饮坊']"
206,老汉口热干面,"['老汉口热干面', '热干面', '老汉口', '深圳老汉口热干面', '汉口佬热干面', '热干面馆', '汉口佬热干面深圳兴东路店', '武汉热干面', '老熊热干面', '干扣面', '干脆面', '老俩口绝味热干面']"
207,舌尖疯狂在成都,"['疯', '舌尖疯狂在成都五联店']"
208,1973继光香香鸡,"['香香', '继光香香鸡', '19', '97', '香香🐏', '1+1']"
209,米村,['优米村庄']
211,吉布鲁牛排海鲜自助,['吉布鲁牛排海鲜自助(深圳金牌店)']
212,伏小桃,['伏小桃(深圳龙岗万象汇)']
213,享哆味,"['享哆味', '享', '享哆味龙岗黄金山餐厅', '丹桂轩享味']"
214,集渔泰式海鲜火锅,['泰']
215,麦田蛋糕,"['新麦田蛋糕店', '金麦蛋糕', '田甜蛋糕']"
216,御厨传奇,['传奇']
217,蛙小侠,"['蛙小侠', '蛙小侠深圳北店', '蛙小侠清湖益田店', '蛙小侠深圳皇庭广场店', '蛙小侠龙华天虹购物中心店']"
221,锦当鲜牛肉饼,"['牛肉', '锦当鲜牛肉饼（深圳福田华强北店）']"
222,大斌家,"['大斌家·米粉铺', '斌', '大斌家串串火锅品牌', '大斌家串串火锅深圳万达广场店', '大斌家串串火锅（阳光科创店）', '大斌家串串火锅九龙街店']"
223,两岸咖啡,"['左岸咖啡', '岸畔咖啡']"
224,香天下,"['宝安区周记香天下餐饮店（个体工商户）', '香湘天下']"
225,鄰里·手打柠檬茶,"['鄰里手打柠檬茶', '鄰里·手打柠檬茶', '鄰里丶手打柠檬茶', '鄰里.手打柠檬茶', '鄰里手打柠檬茶店', '鄰里', '鄰里手打柠檬茶下水径华润万家店', '柠檬茶', '鄰里手打柠檬茶（草埔店）', '鄰里手打柠檬茶（观澜老街店）', '鄰里手打柠檬茶（固戍红湾店）', '鄰里手打柠檬茶（塘尾店）', '鄰里手打柠檬茶（长圳店）', '鄰里手打柠檬茶（天安云谷店）', '鄰里手打柠檬茶（东环天虹店）', '鄰里手打柠檬茶(华润店)', '鄰里手打柠檬茶（坑梓店）', '鄰里手打柠檬茶盐田街店', '鄰里手打柠檬茶深圳共乐店', '鄰里手打柠檬茶（杨美店）', '深圳鄰里手打柠檬茶西丽店', '鄰里手打柠檬茶(远洋广场店)', '鄰里手打柠檬茶丨盐田店', '鄰里手打柠檬茶（卓越店）', '鄰里手打柠檬茶·南山科技园店', '深圳鄰里手打柠檬茶', '邻里手打柠檬茶', '粼里手打柠檬茶', '手打柠檬茶', '鄰里柠檬茶', '鄰里手打柠檬茶大围店', '鄰里手打柠檬茶沙三店', '鄰里手打柠檬茶信义店', '鄰里手打柠檬茶广芳店', '鄰里手打柠檬茶国贸店', '邻里序手打柠檬茶', 'LINLEE林里·手打柠檬茶', '柠檬茶社', '鄰里·手打柠檬茶（东门戏院店）', '鄰里·手打柠檬茶（固戍联昇店）', '鄰里 手打柠檬茶（固戍店）', '鄰里·手打柠檬茶星港同创汇店', '鄰里·手打柠檬茶（大浪商业中心后浪店）', '鄰里.手柠檬茶(百易广场店)', '鄰里·手打柠檬茶(可园店)', 'LINLEE林里手打柠檬茶（红岭北店）', '鄰里·手打柠檬茶（留仙洞店）', '鄰里-手打柠檬茶(九围店)', '鄰里·手打柠檬茶(福田八卦岭店)', 'w手打柠檬茶', '鄰里柠檬茶店', '鄰里·手打柠檬茶 （壹方天地店）', '鄰里·手打柠檬茶（沙井地铁站店）', '鄰里.手打柠檬茶(盐田山海城家园店)', '鄰里·手打柠檬茶（公园里店）', '鄰里·手打柠檬茶（华润万家店）', '粼里手打柠檬茶怡华新村店', '鄰里 手打柠檬茶主机游戏跨界店', '鄰里.手打柠檬茶(万科星辰汇店)', '鄰里·手打柠檬茶（南坑店）', '鄰里.手打柠檬茶（荔景大厦店）', '鄰里·手打柠檬茶（西城上筑店）', '七仔手打柠檬茶', '潮柠手打柠檬茶', '柠渡手打柠檬茶', '7㎡手打柠檬茶', '深柠手打柠檬茶', '手打地摊柠檬茶', '囍柠手打柠檬茶', '绿柠手打柠檬茶', '市井手打柠檬茶', '富贵手打柠檬茶', '泰式手打柠檬茶', '柠好手打柠檬茶', '肥仔手打柠檬茶', '广式手打柠檬茶', '新光手打柠檬茶', '茶柠手打柠檬茶', '抡擂手打柠檬茶', '依柠手打柠檬茶', '印象手打柠檬茶', '唯迩手打柠檬茶', '小武手打柠檬茶', '伍圆手打柠檬茶', '鄰里泰绿手打柠檬茶 西乡店']"
226,茶萃吧,"['茶萃吧', '新村茶萃吧', '茶萃吧和平店', '茶萃吧（坪山坑梓店）', '茶萃吧深圳勒竹角店', '茶萃吧（燕川北路店）', '茶萃吧（上星步行街店）', '茶萃吧（石岩东海百货店）', '茶萃吧（龙岗白石塘子美街店）', '茶萃吧（福永新村店）', '尚屋茶萃吧', '茶萃吧深圳玉律一区店', '茶萃吧深圳光明店', '茶萃吧（西田时代广场店）', '茶萃吧（龙岗下李朗店店）', '茶萃吧深圳步涌店', '茶萃吧角塘店', '深圳茶萃吧', '茶萃吧奶茶店', '茶萃吧（龙岗六约店）', '茶萃吧（公明地铁口店）', '深圳市松岗星洲时代茶萃吧饮品店', '茶萃吧（福永东海百货店）', '茶萃吧（沙井新桥店）', '茶萃吧（福永金凤凰店）', '茶萃吧（福永凤凰富源店）', '茶萃吧（公明东坑店）', '茶萃吧（松岗大田洋店）', '茶萃吧（合水口柏溪店）', '茶萃吧（凤凰塘福街店）', '茶萃吧（松岗红星店）', '茶萃吧（新玉大道店）', '茶萃吧（龙华玉翠店）', '茶萃吧（凤凰甲子塘店）', '茶萃吧（龙华大浪凯宾店）', '茶萃吧（台湾工业园店）', '茶萃吧（新田社区店）', '茶萃吧（光明下石店）', '茶萃吧（海滨新村四区店）', '茶萃吧（松岗温屋店）', '茶萃吧（龙华天诚路店）', '茶萃吧（兴百盛广场店）', '茶萃吧（石岩国泰店）', '茶萃吧（塘尾十区店）', '茶萃吧（沙井步涌村前店）', '茶萃吧泰兴花园店丨宝安店', '茶萃吧（沙井万丰仁爱店）', '茶萃吧（大水坑水南街店）', '茶萃吧深圳燕川公园店', '茶萃吧松岗田洋店', '茶萃吧（公明下辇店）', '茶萃吧（观澜大水坑店）', '茶萃吧（龙华龙园店）', '润滋滋茶萃吧茶饮全国加盟', '茶萃吧（沙井新沙路店）', '茶萃吧深圳沙三店', '茶萃吧福和路店', '深圳市光明区晓梅茶萃吧奶茶店', '茶萃吧（塘厦莆心湖店）', '茶萃吧（涌头美惠多店）', '茶萃吧(大亚湾老畲村店）', '茶萃吧（玉律广场店）', '观澜大水坑二村茶萃吧', '茶萃吧（龙华龙泉花园店）', '茶萃吧（石排公园店）', '松岗茶萃吧', '茶萃吧（龙华福城街道店）', '深圳市坪山区马峦街道悠悠果茶吧', '乐芙饮茶吧', '风铃奶茶吧', '深圳市宝安区梦点茶吧']"
227,HELP!猴子的救兵,"['猴子', 'LP']"
228,小田豆浆,"['小田豆浆', '小田豆浆（福田总店）', '小田豆浆（莲塘店）', '深圳市福田区小田豆浆总店', '小田', '田田豆浆', '小禾豆浆', '田叔豆浆']"
230,张一碗云南过桥米线,['食寨云南过桥米线']
231,深井烧鹅,"['深井烧鹅', '熹记深井烧鹅', '深圳华南城深井烧鹅上木古店', '顺记深井烧鹅（梧桐山店）', '深井烧鹅（新秀店）', '萬利深井烧鹅', '永兴隆深井烧鹅', '佳佳深井烧鹅深圳泥岗店', '深井烧鹅深圳悦兴路店', '深圳壹城深井烧鹅店', '深井烧鹅瓦窑排店', '荣记深井烧鹅深圳沙井店', '万利深井烧鹅深圳岗厦店', '尚品深井烧鹅', '家记隆江猪脚饭深井烧鹅', '深井烧鹅肠粉汤粉（澳门工业区店）', '发记深井烧鹅店', '深圳市罗湖区佳佳深井烧鹅店', '深井烧鹅深圳大浪南路店', '佳佳深井烧鹅', '萬利深井烧鹅深圳金色假日店', '顺记深井烧鹅（地王店）', '深井烧鹅深圳劳动路店', '深', '熹记深井烧鹅深圳坂田北店', '营创深井烧鹅(曼哈商业广场店)', '深井烧鹅大浪店', '深圳市光明区陈记深井烧鹅', '熹记深井烧鹅深圳福田店', '合记深井烧鹅新坡头店', '深井烧鹅流塘店', '合记深井烧鹅', '深井烧鹅深圳莲塘店', '深井烧鹅龙华书城店', '湛江皇味深井烧鹅', '深井烧鹅（曼哈数码）', '江记深井烧鹅', '熹记深井烧鹅深圳平湖店', '深圳市罗湖区御膳深井烧鹅店', '陈记深井烧鹅', '深井烧鹅港式茶餐厅', '黄记深井烧鹅', '粤香深井烧鹅', '深井烧鹅烧腊店', '深圳市宝安区松岗街道文记港式深井烧鹅店1', '井', '深井烧鹅店', '深井烧鹅皇', '深井烧腊']"
232,愿者上钩,"['愿者上钩', '深圳市宝安区松岗愿者上钩烤鱼店', '愿者上钩（东坑店）', '深圳愿者上钩', '愿者上钩福永和平店', '愿者上钩深圳龙岗店', '愿者上钩（大浪店）', '愿者上钩（福永店）', '深圳市愿者上钩', '愿者上钩西乡步行街店', '愿者上钩深圳观澜店', '愿者上钩深圳大鹏新区店', '愿者上钩深圳凤凰店', '深圳愿者上钩沙井万丰店', '深圳市愿者上钩纸包鱼', '愿者上钩（爱华店）', '愿者上钩（布吉老街店）', '愿者上钩（五和店）', '愿者上钩龙岗龙西店', '愿者上钩（立业路店）', '愿者上钩（景田店）', '深圳市宝安区愿者上钩塘下涌店', '深圳市龙华区观湖愿者上钩纸包鱼店', '愿者上钩深圳元芬店', '愿者上钩深圳玉律店', '愿者上钩龙岗爱联店', '愿者上钩深圳流塘店', '愿者上钩深圳大鹏中心城店', '愿者上钩深圳石岩官田店', '愿者上钩深圳新庄店', '愿者上钩应人石分店', '愿者上钩纸包鱼店', '愿者上钩李松蓢店', '深圳市愿者上钩松岗潭头店', '愿者上钩平湖白泥坑店', '愿者上钩宝安南路店', '愿者上钩深圳鹤洲店', '愿者上钩深圳大和店', '愿者上钩（丹竹头店）', '愿者上钩（桥和路店）', '愿者上钩（田贝店）', '深圳市愿者上钩圳美店', '深圳市愿者上钩珠光店', '愿者上钩燕南店', '愿者上钩深圳宏发工业园店', '愿者上钩龙城店', '愿者上钩深圳坪山碧岭店', '愿者上钩龙岗新生店', '愿者上钩深圳银田店', '愿者上钩深圳布吉天虹店', '愿者上钩田寮店', '深圳市坪山区竹坑愿者上钩烤鱼店', '愿者上钩松岗江边店', '深圳市愿者上钩上星店', '愿者上钩甲子塘店', '愿者上钩（华荣路店）', '愿者上钩怀德店', '愿者上钩(长龙店)', '愿者上钩深圳上横朗店', '深圳市愿者上钩宝源店', '愿者上钩华南城店', '愿者上钩公明店', '深圳市愿者上钩东塘店', '愿者上钩深圳塘家店', '愿者上钩（步涌店）', '愿者上钩沙嘴店', '愿者上钩坪山竹坑店', '深圳愿者上钩长盛店', '愿者上钩（马安山店）', '愿者上钩宝安三围店。', '愿者上钩深圳公明马山头店', '愿者上钩烤鱼福星店', '愿者上钩沙井民主店', '愿者上钩（下沙店）', '愿者上钩岗头店', '愿者上钩同乐店', '深圳市愿者上钩固戍南昌店', '愿者上钩麻布店', '愿者上钩深圳长圳店', '愿者上钩福永店', '深圳愿者上钩湖贝店', '愿者上钩深圳天汇大厦店', '愿者上钩横岗西坑店', '愿者上钩坳背店', '愿者上钩公明四季新城店', '深圳市愿者上钩桂花店', '愿者上钩固戍华庭店', '愿者上钩（塘前路店）', '愿者上钩（八卦岭店）', '深圳市愿者上钩园岭店', '深圳市愿者上钩黄田店', '愿者上钩深圳沙井店', '愿者上钩深圳万联店', '深圳市愿者上钩牛湖店', '愿者上钩壹海城店', '愿者上钩后亭店', '深圳市愿者上钩固戍店', '愿者上钩蛇口店', '愿者上钩平湖店', '愿者上钩子美店', '愿者上钩光明广场店', '愿者上钩深圳新田店', '愿者上钩（巴登店）', '愿者上钩龙岗五联同心店', '愿者上钩同富路店', '愿者上钩世纪城店 浪尾店', '愿者上钩深圳上南店', '愿者上钩观澜店', '愿者上钩龙华天虹店.', '深圳市龙岗区雅茂愿者上钩烤鱼店', '愿者上钩洪浪北站店', '愿者上钩龙岗坪地店', '愿者上钩龙岗吉祥店', '愿者上钩龙岗宝龙一路店', '愿者上钩(动感餐吧)', '深圳愿者上钩前进二路店', '愿者上钩深圳樟坑三区店', '深圳市愿者上钩民生路8号店', '愿者上钩（海澜之家旁）', '深圳市龙岗区盛龙愿者上钩餐厅', '愿者上钩简龙店.', '愿者上钩（观澜兴万达店）', '愿者上钩新二店.', '愿者上钩楼村店', '愿者上钩光辉店', '愿者上钩龙华天虹店', '愿者上钩烤鱼', '愿者上钩宝安三围店', '愿者上钩龙岗中心城店', '愿者上钩龙岗嶂背路店', '愿者上钩油甘埔店']"
233,辣莊,['莊']
234,霸王茶姬,"['霸王茶姬', '霸王别姬']"
235,蓉李记成都名小吃,"['小吃', '成都名小吃', '名杨小吃', '小吃店', '小吃摊', '小吃点']"
236,小糖沫沫,"['沫沫', '小糖']"
237,B.Duck TEA鸭鸭茶,"['鸭鸭', 'Y|B', '帅都鞋业（B）', 'B G童装', 'T K', '【收费】 4-B-103 （员工端收费）6585.04', 'B-55', '、偉♚b.', 'BDUCKTEA']"
238,许留山,['许']
239,庆丰包子铺,"['包子铺', '五丰包子铺', '甽丰禾包子铺']"
240,阿尔卑斯,['阿尔卑斯门窗']
242,大卡司,"['大卡司', '大卡司（龙岗老街店）', '大卡司DAKASI（爱联店）', '大卡司DAKASI（坪山中兴店）', '大卡司饮品店', '大卡司葵涌店', '深圳大卡司奶茶店', '大卡司六约店', '深圳市盐田区大梅沙大卡司饮品店', '大卡司深圳中心书城店']"
